flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration,avg_packet_size,direction,label
F_02693,10.0.174.222,10.0.225.104,40720,80,UDP,21,80664,8.31,3841.14,Inbound,BruteForce
F_00538,10.0.3.190,10.0.162.186,55064,3306,UDP,72,4966,9.23,68.97,Inbound,Benign
F_01939,10.0.227.94,10.0.194.133,39915,53,TCP,73,30806,9.02,422.0,Outbound,Botnet
F_03411,10.0.196.85,10.0.237.72,20444,3306,TCP,9,65905,0.29,7322.78,Inbound,Benign
F_08289,10.0.102.239,10.0.172.179,8081,53,TCP,44,80171,9.38,1822.07,Outbound,DDoS
F_01430,10.0.127.126,10.0.150.185,18933,53,UDP,90,93962,7.31,1044.02,Outbound,Malware
F_01746,10.0.212.218,10.0.247.228,32100,22,TCP,9,29964,1.33,3329.33,Outbound,Benign
F_07625,10.0.68.81,10.0.199.218,11958,3306,UDP,51,45600,2.93,894.12,Outbound,Benign
F_06810,10.0.97.154,10.0.238.98,33249,53,UDP,62,32417,9.01,522.85,Outbound,Benign
F_06574,10.0.106.124,10.0.62.171,51869,53,TCP,71,33783,4.0,475.82,Outbound,Benign
F_09463,10.0.100.44,10.0.110.132,58828,21,UDP,51,46242,5.62,906.71,Inbound,BruteForce
F_06436,10.0.61.59,10.0.108.43,26507,80,UDP,87,44791,6.13,514.84,Outbound,PortScan
F_03377,10.0.186.248,10.0.247.103,8144,8080,TCP,68,31214,2.88,459.03,Inbound,Benign
F_03872,10.0.113.197,10.0.29.197,35378,8080,UDP,34,94085,8.98,2767.21,Outbound,Benign
F_00784,10.0.22.47,10.0.103.129,4360,22,UDP,11,52736,4.82,4794.18,Inbound,Benign
F_08298,10.0.113.85,10.0.128.223,49924,8080,TCP,83,43973,9.54,529.8,Outbound,DDoS
F_05841,10.0.22.135,10.0.215.102,8411,22,TCP,58,17867,2.12,308.05,Inbound,Benign
F_04709,10.0.250.110,10.0.1.33,36338,53,UDP,31,26829,2.31,865.45,Inbound,BruteForce
F_05801,10.0.254.198,10.0.123.193,40200,3306,UDP,77,55237,2.95,717.36,Outbound,Infiltration
F_00289,10.0.69.15,10.0.93.41,43560,443,UDP,84,52189,9.46,621.3,Outbound,Benign
F_01958,10.0.248.244,10.0.81.16,60010,22,TCP,12,19280,6.68,1606.67,Outbound,Benign
F_02180,10.0.251.77,10.0.24.105,24291,3306,UDP,6,36001,8.63,6000.17,Outbound,Infiltration
F_01509,10.0.150.107,10.0.57.223,16812,443,UDP,46,92841,2.51,2018.28,Outbound,Benign
F_00631,10.0.17.250,10.0.61.8,19911,21,TCP,34,51368,6.48,1510.82,Inbound,Benign
F_05854,10.0.29.26,10.0.81.105,51339,80,TCP,36,17804,1.85,494.56,Inbound,Benign
F_04482,10.0.57.242,10.0.253.176,4030,443,TCP,42,30257,9.07,720.4,Inbound,Benign
F_05031,10.0.105.204,10.0.133.139,43188,21,TCP,55,27196,2.7,494.47,Inbound,Benign
F_03642,10.0.52.215,10.0.115.158,51635,3306,TCP,84,12958,9.55,154.26,Inbound,PortScan
F_08257,10.0.167.54,10.0.5.28,13176,3306,TCP,82,72853,5.36,888.45,Outbound,Benign
F_09926,10.0.164.199,10.0.37.130,40264,53,UDP,61,89713,9.05,1470.7,Outbound,Benign
F_08685,10.0.151.152,10.0.175.27,25571,443,TCP,7,53958,3.06,7708.29,Outbound,Benign
F_02827,10.0.66.212,10.0.229.112,19494,443,UDP,45,17729,5.57,393.98,Inbound,Malware
F_06484,10.0.140.31,10.0.60.160,63236,21,UDP,30,31246,5.95,1041.53,Inbound,Benign
F_03993,10.0.140.171,10.0.186.242,4988,8080,UDP,35,75168,4.8,2147.66,Inbound,DDoS
F_05237,10.0.245.181,10.0.178.89,46149,443,UDP,6,53904,8.24,8984.0,Inbound,DDoS
F_06351,10.0.88.115,10.0.201.170,11543,8080,UDP,37,27676,0.16,748.0,Outbound,PortScan
F_02522,10.0.29.135,10.0.13.120,22288,21,TCP,62,82477,1.56,1330.27,Inbound,Benign
F_03212,10.0.121.138,10.0.250.245,9486,80,UDP,79,91799,0.87,1162.01,Outbound,Benign
F_09370,10.0.12.3,10.0.155.100,56373,3306,TCP,9,46505,5.27,5167.22,Outbound,Benign
F_07732,10.0.86.62,10.0.50.118,51744,53,UDP,23,33016,9.49,1435.48,Outbound,Benign
F_04795,10.0.16.121,10.0.20.26,26943,3306,TCP,37,16424,6.32,443.89,Outbound,Benign
F_08130,10.0.186.65,10.0.156.167,61333,53,UDP,22,71835,4.11,3265.23,Outbound,Benign
F_04161,10.0.83.70,10.0.181.239,41771,22,TCP,60,41161,3.3,686.02,Outbound,DDoS
F_01118,10.0.169.9,10.0.117.144,16966,3306,UDP,10,55909,9.22,5590.9,Outbound,Malware
F_06763,10.0.27.223,10.0.157.81,9471,8080,TCP,73,98428,6.03,1348.33,Outbound,Benign
F_00745,10.0.103.179,10.0.159.240,10411,53,TCP,53,70088,8.01,1322.42,Inbound,BruteForce
F_00823,10.0.134.210,10.0.236.243,47900,8080,UDP,37,58504,6.52,1581.19,Inbound,Benign
F_04950,10.0.43.161,10.0.41.222,60875,8080,TCP,11,2481,9.15,225.55,Outbound,Benign
F_02470,10.0.183.20,10.0.76.228,51793,21,UDP,94,26812,7.74,285.23,Inbound,Benign
F_08362,10.0.124.218,10.0.19.236,46920,3306,TCP,43,80778,0.12,1878.56,Inbound,Benign
F_06215,10.0.40.48,10.0.8.226,17871,21,TCP,56,87717,8.62,1566.38,Inbound,PortScan
F_02096,10.0.11.130,10.0.241.10,2125,8080,TCP,66,87837,9.26,1330.86,Outbound,Benign
F_08467,10.0.151.125,10.0.12.132,29818,53,TCP,96,81232,8.93,846.17,Outbound,Infiltration
F_05137,10.0.25.189,10.0.247.138,14364,3306,UDP,24,55302,4.01,2304.25,Inbound,Infiltration
F_08055,10.0.153.75,10.0.215.141,24938,21,UDP,25,73285,7.35,2931.4,Outbound,Benign
F_03116,10.0.81.38,10.0.124.5,23462,443,UDP,49,93075,1.16,1899.49,Inbound,BruteForce
F_09010,10.0.118.143,10.0.170.104,3048,443,UDP,28,27655,7.29,987.68,Outbound,PortScan
F_07203,10.0.13.186,10.0.179.159,18746,22,UDP,70,20220,0.41,288.86,Inbound,DDoS
F_06906,10.0.204.58,10.0.230.21,15778,53,UDP,74,16358,1.89,221.05,Inbound,Benign
F_05944,10.0.213.215,10.0.117.247,24582,21,UDP,56,53463,3.73,954.7,Inbound,Benign
F_08356,10.0.167.251,10.0.20.156,49798,80,TCP,76,85585,0.29,1126.12,Inbound,Benign
F_01024,10.0.186.234,10.0.183.9,53578,443,UDP,16,34992,5.16,2187.0,Outbound,BruteForce
F_06645,10.0.151.182,10.0.83.29,32048,443,UDP,21,50424,7.72,2401.14,Inbound,Benign
F_02519,10.0.113.8,10.0.181.3,31625,3306,TCP,56,97239,1.99,1736.41,Inbound,Benign
F_02981,10.0.122.43,10.0.169.128,54136,80,UDP,54,65050,5.08,1204.63,Inbound,DDoS
F_00835,10.0.234.150,10.0.97.158,25568,21,TCP,49,79854,5.34,1629.67,Inbound,DDoS
F_06601,10.0.145.169,10.0.106.148,2554,53,UDP,66,22993,2.29,348.38,Inbound,Botnet
F_06440,10.0.10.102,10.0.181.44,63420,443,UDP,55,55939,3.88,1017.07,Outbound,Benign
F_07752,10.0.122.147,10.0.10.204,44730,22,UDP,26,16074,1.85,618.23,Outbound,Benign
F_03638,10.0.210.116,10.0.72.175,13517,80,UDP,9,4728,5.56,525.33,Outbound,DDoS
F_04302,10.0.169.33,10.0.236.66,49975,443,TCP,90,87142,1.55,968.24,Outbound,Benign
F_05232,10.0.75.55,10.0.143.163,16397,443,TCP,91,50869,5.87,559.0,Outbound,Benign
F_03196,10.0.238.165,10.0.30.102,29822,8080,TCP,91,94976,8.53,1043.69,Outbound,Benign
F_06041,10.0.84.11,10.0.179.184,37449,8080,TCP,7,71290,4.19,10184.29,Outbound,Benign
F_08157,10.0.215.205,10.0.190.242,11647,22,UDP,47,28050,8.5,596.81,Inbound,Botnet
F_08051,10.0.245.150,10.0.215.16,38543,8080,TCP,90,8256,7.5,91.73,Inbound,Benign
F_02684,10.0.89.230,10.0.78.95,50906,80,TCP,71,1240,0.14,17.46,Inbound,Benign
F_02944,10.0.125.57,10.0.142.32,28027,8080,TCP,38,60787,4.01,1599.66,Inbound,Benign
F_09761,10.0.195.242,10.0.169.136,62550,21,UDP,55,54783,2.17,996.05,Outbound,Infiltration
F_09789,10.0.64.144,10.0.13.25,36930,22,UDP,84,11353,2.74,135.15,Inbound,Benign
F_07329,10.0.144.168,10.0.73.96,39930,3306,UDP,49,19130,9.41,390.41,Inbound,BruteForce
F_05234,10.0.195.95,10.0.106.106,40986,22,TCP,60,4857,1.59,80.95,Inbound,BruteForce
F_08841,10.0.43.186,10.0.227.54,53662,8080,TCP,93,57171,4.26,614.74,Outbound,Benign
F_08497,10.0.33.76,10.0.216.189,40055,3306,TCP,10,67825,6.89,6782.5,Outbound,Benign
F_09452,10.0.38.118,10.0.101.13,8575,53,TCP,34,94776,9.28,2787.53,Outbound,Benign
F_05590,10.0.216.139,10.0.122.137,20166,22,TCP,6,48890,7.97,8148.33,Outbound,Benign
F_06318,10.0.92.192,10.0.252.244,65171,80,TCP,68,56221,0.97,826.78,Outbound,Benign
F_09755,10.0.131.114,10.0.169.106,27970,21,TCP,30,71308,7.77,2376.93,Inbound,BruteForce
F_00347,10.0.185.96,10.0.224.38,29755,3306,TCP,58,68819,1.3,1186.53,Inbound,Malware
F_01000,10.0.80.215,10.0.33.24,8945,443,UDP,80,10958,4.87,136.98,Outbound,PortScan
F_05664,10.0.181.207,10.0.156.27,49586,22,TCP,76,55527,4.89,730.62,Inbound,Benign
F_02259,10.0.131.55,10.0.1.22,50629,443,TCP,55,74972,9.78,1363.13,Outbound,Benign
F_05275,10.0.146.228,10.0.95.158,49035,22,TCP,7,71814,8.48,10259.14,Outbound,Infiltration
F_04780,10.0.225.35,10.0.144.101,53958,3306,UDP,51,54982,8.06,1078.08,Outbound,Benign
F_04812,10.0.238.245,10.0.98.180,49405,8080,TCP,43,27065,2.88,629.42,Inbound,Malware
F_06147,10.0.11.237,10.0.149.71,12130,443,UDP,18,63840,8.94,3546.67,Inbound,Benign
F_09523,10.0.186.15,10.0.119.133,18734,22,TCP,48,37940,9.21,790.42,Inbound,Malware
F_09216,10.0.14.187,10.0.105.171,13301,22,TCP,86,53257,4.7,619.27,Inbound,Benign
F_07293,10.0.218.12,10.0.208.163,24852,3306,TCP,34,94063,7.56,2766.56,Inbound,BruteForce
F_04166,10.0.196.219,10.0.236.167,13655,21,UDP,82,84982,3.09,1036.37,Outbound,Benign
F_03905,10.0.233.3,10.0.110.225,40457,53,UDP,96,20640,1.07,215.0,Inbound,Benign
F_04453,10.0.114.64,10.0.91.246,42172,8080,UDP,52,5348,5.4,102.85,Inbound,Botnet
F_09213,10.0.216.104,10.0.90.152,60969,3306,TCP,43,49656,5.02,1154.79,Outbound,DDoS
F_09424,10.0.15.22,10.0.76.47,10328,3306,UDP,23,61955,1.59,2693.7,Inbound,Benign
F_03866,10.0.107.115,10.0.99.144,13515,8080,TCP,33,40670,4.4,1232.42,Outbound,Benign
F_00246,10.0.98.188,10.0.219.150,9918,21,UDP,79,79353,3.71,1004.47,Outbound,PortScan
F_01021,10.0.222.222,10.0.190.236,18852,80,TCP,95,62455,6.13,657.42,Outbound,Benign
F_06603,10.0.151.201,10.0.173.192,43371,80,UDP,67,99052,3.62,1478.39,Inbound,Benign
F_09829,10.0.219.186,10.0.25.6,16164,8080,TCP,50,63190,7.49,1263.8,Outbound,Benign
F_08796,10.0.168.116,10.0.97.35,55318,3306,TCP,33,91451,5.71,2771.24,Outbound,Benign
F_09571,10.0.165.26,10.0.101.40,36542,443,TCP,82,87135,6.11,1062.62,Inbound,Benign
F_02270,10.0.5.214,10.0.171.97,63044,21,TCP,41,47195,9.52,1151.1,Inbound,Benign
F_05460,10.0.38.13,10.0.45.168,26154,8080,TCP,83,87527,6.05,1054.54,Inbound,Benign
F_00902,10.0.128.47,10.0.227.194,22127,22,TCP,12,63482,5.76,5290.17,Inbound,Benign
F_09993,10.0.89.95,10.0.135.18,23055,80,UDP,35,7713,8.1,220.37,Outbound,Benign
F_04224,10.0.91.182,10.0.68.67,34288,21,UDP,93,97687,2.95,1050.4,Inbound,Benign
F_05008,10.0.222.115,10.0.145.68,56624,8080,TCP,96,47315,0.34,492.86,Inbound,Botnet
F_09623,10.0.92.211,10.0.40.203,51904,80,UDP,56,98754,4.83,1763.46,Inbound,DDoS
F_01194,10.0.250.227,10.0.70.127,49302,443,UDP,79,32552,7.78,412.05,Inbound,Benign
F_02250,10.0.75.174,10.0.29.126,15951,443,UDP,79,9417,5.46,119.2,Outbound,PortScan
F_00203,10.0.253.227,10.0.59.9,2675,80,UDP,75,51967,3.13,692.89,Outbound,Benign
F_03829,10.0.205.13,10.0.232.172,60617,3306,TCP,72,61092,6.64,848.5,Outbound,Infiltration
F_01281,10.0.224.33,10.0.75.150,60787,80,TCP,82,40009,5.99,487.91,Inbound,Benign
F_07089,10.0.178.186,10.0.241.121,19146,22,TCP,71,27038,2.88,380.82,Inbound,Benign
F_05351,10.0.162.214,10.0.48.67,20174,80,TCP,15,75983,7.51,5065.53,Inbound,Benign
F_00877,10.0.214.187,10.0.31.93,11091,3306,TCP,59,2286,0.24,38.75,Inbound,Malware
F_06683,10.0.133.211,10.0.116.178,49688,21,TCP,79,88890,4.01,1125.19,Outbound,BruteForce
F_07684,10.0.0.40,10.0.162.50,1821,3306,TCP,52,88228,9.89,1696.69,Outbound,DDoS
F_07714,10.0.163.233,10.0.236.33,52089,22,UDP,27,86707,8.75,3211.37,Inbound,Benign
F_09270,10.0.234.184,10.0.186.36,50436,21,TCP,49,13130,6.17,267.96,Inbound,Benign
F_01957,10.0.143.69,10.0.39.191,19908,22,UDP,89,8280,2.49,93.03,Outbound,Benign
F_06594,10.0.203.166,10.0.198.161,4200,53,TCP,36,63723,0.97,1770.08,Outbound,Infiltration
F_08913,10.0.85.133,10.0.193.110,11021,8080,TCP,81,54864,8.92,677.33,Inbound,Benign
F_06650,10.0.178.163,10.0.51.237,36883,21,TCP,51,16541,7.36,324.33,Outbound,Benign
F_01342,10.0.219.108,10.0.197.155,56154,53,UDP,94,20841,3.08,221.71,Outbound,BruteForce
F_02054,10.0.187.59,10.0.218.138,11440,22,UDP,5,79648,3.18,15929.6,Outbound,Botnet
F_02718,10.0.204.79,10.0.148.21,44075,21,TCP,36,40744,2.81,1131.78,Inbound,Benign
F_05696,10.0.64.69,10.0.175.71,30699,21,TCP,25,97259,3.84,3890.36,Inbound,Infiltration
F_00509,10.0.29.242,10.0.37.214,57570,8080,TCP,99,20770,6.92,209.8,Inbound,Benign
F_02970,10.0.82.134,10.0.228.52,7768,53,UDP,59,83392,0.54,1413.42,Outbound,Benign
F_02086,10.0.151.252,10.0.159.70,57927,8080,TCP,44,52224,2.56,1186.91,Outbound,DDoS
F_00101,10.0.51.253,10.0.52.38,32337,21,TCP,56,93596,8.21,1671.36,Outbound,Benign
F_05155,10.0.181.244,10.0.211.8,59157,22,TCP,13,47104,9.13,3623.38,Outbound,Benign
F_07233,10.0.243.206,10.0.205.232,11962,22,TCP,45,72630,6.99,1614.0,Outbound,PortScan
F_00168,10.0.251.187,10.0.113.79,32452,443,TCP,61,73800,5.68,1209.84,Inbound,Benign
F_01866,10.0.204.22,10.0.54.216,49686,22,TCP,6,51717,5.39,8619.5,Inbound,Benign
F_05939,10.0.167.250,10.0.31.96,64236,22,UDP,13,25539,3.72,1964.54,Inbound,PortScan
F_02850,10.0.67.197,10.0.59.223,13609,22,UDP,68,42635,9.83,626.99,Outbound,Benign
F_04381,10.0.77.169,10.0.11.85,3697,8080,UDP,54,42725,0.92,791.2,Inbound,Benign
F_00013,10.0.37.130,10.0.71.219,64727,3306,UDP,12,13574,7.0,1131.17,Inbound,PortScan
F_02909,10.0.154.179,10.0.133.246,52235,53,UDP,18,21453,1.88,1191.83,Inbound,Benign
F_05450,10.0.179.66,10.0.46.199,37669,3306,TCP,44,39450,2.46,896.59,Inbound,DDoS
F_02177,10.0.227.204,10.0.73.7,1026,21,TCP,47,47307,7.41,1006.53,Outbound,Benign
F_07884,10.0.159.118,10.0.49.24,21253,21,UDP,51,54142,8.11,1061.61,Outbound,Benign
F_00358,10.0.123.33,10.0.19.205,53846,22,TCP,54,54257,1.9,1004.76,Outbound,Benign
F_07928,10.0.220.254,10.0.92.229,2226,3306,TCP,85,4562,1.5,53.67,Inbound,Benign
F_08189,10.0.85.251,10.0.34.207,39583,80,UDP,11,31472,0.28,2861.09,Outbound,Botnet
F_04131,10.0.244.31,10.0.254.90,62884,8080,TCP,53,84237,7.04,1589.38,Outbound,DDoS
F_02750,10.0.83.52,10.0.118.5,24236,80,TCP,41,29505,9.42,719.63,Inbound,Benign
F_09774,10.0.73.213,10.0.241.213,11030,8080,TCP,7,39889,8.19,5698.43,Outbound,PortScan
F_05762,10.0.216.57,10.0.151.125,44224,53,UDP,46,84179,4.98,1829.98,Outbound,Malware
F_00660,10.0.180.150,10.0.13.206,4973,3306,TCP,75,25191,5.25,335.88,Inbound,Benign
F_09819,10.0.36.8,10.0.210.93,53836,8080,TCP,94,89122,7.04,948.11,Inbound,Benign
F_03500,10.0.177.71,10.0.235.58,18466,22,UDP,53,68185,9.22,1286.51,Inbound,DDoS
F_06449,10.0.66.82,10.0.242.234,53927,53,TCP,94,15389,9.83,163.71,Inbound,Benign
F_08258,10.0.129.178,10.0.194.13,16825,53,TCP,70,91412,6.34,1305.89,Inbound,Benign
F_04806,10.0.177.125,10.0.3.4,65122,443,UDP,82,57209,9.55,697.67,Outbound,Benign
F_00004,10.0.102.122,10.0.151.164,1821,8080,UDP,56,50094,2.6,894.54,Inbound,DDoS
F_08578,10.0.128.60,10.0.191.135,1801,21,TCP,96,44450,0.25,463.02,Inbound,Botnet
F_08131,10.0.67.28,10.0.56.119,53475,8080,TCP,87,61151,1.21,702.89,Outbound,Benign
F_02438,10.0.50.250,10.0.111.69,27305,443,TCP,83,49533,8.26,596.78,Inbound,Benign
F_07661,10.0.224.84,10.0.180.145,8075,53,UDP,99,97805,8.79,987.93,Outbound,Botnet
F_03163,10.0.194.109,10.0.97.42,53470,21,TCP,25,30584,3.44,1223.36,Inbound,Benign
F_06492,10.0.76.37,10.0.198.57,41626,3306,TCP,83,81002,0.24,975.93,Inbound,PortScan
F_09534,10.0.84.208,10.0.125.98,33712,3306,UDP,30,69625,3.5,2320.83,Outbound,Malware
F_07454,10.0.187.71,10.0.176.97,53671,80,TCP,31,41099,5.39,1325.77,Outbound,Benign
F_03616,10.0.57.72,10.0.121.120,13543,3306,TCP,30,93437,6.98,3114.57,Inbound,Infiltration
F_09991,10.0.107.65,10.0.146.57,46499,22,UDP,14,3842,6.85,274.43,Outbound,Benign
F_07636,10.0.209.120,10.0.171.129,55112,22,TCP,5,75277,1.79,15055.4,Inbound,Benign
F_06284,10.0.187.113,10.0.79.54,16288,80,UDP,24,47747,6.22,1989.46,Outbound,Benign
F_05077,10.0.83.35,10.0.141.129,41126,80,UDP,79,46025,7.12,582.59,Inbound,Benign
F_09273,10.0.172.27,10.0.235.178,39682,3306,UDP,86,85699,8.44,996.5,Inbound,PortScan
F_00468,10.0.159.173,10.0.26.38,35840,443,TCP,95,69990,3.89,736.74,Inbound,DDoS
F_05730,10.0.139.29,10.0.17.45,9211,53,TCP,50,47585,7.37,951.7,Inbound,Benign
F_01028,10.0.107.188,10.0.2.226,4122,8080,TCP,54,87940,1.78,1628.52,Inbound,Benign
F_08600,10.0.100.132,10.0.64.186,24464,8080,UDP,72,62750,4.93,871.53,Outbound,Benign
F_03420,10.0.47.211,10.0.210.73,40963,443,TCP,64,97196,7.46,1518.69,Inbound,DDoS
F_09349,10.0.102.249,10.0.121.65,54636,22,TCP,99,38736,4.25,391.27,Outbound,Benign
F_07172,10.0.222.199,10.0.74.178,5934,22,TCP,53,91332,2.68,1723.25,Outbound,PortScan
F_02766,10.0.5.93,10.0.210.118,38230,21,TCP,80,79505,9.56,993.81,Outbound,Benign
F_04223,10.0.121.11,10.0.73.65,48591,21,TCP,64,79468,7.79,1241.69,Outbound,Benign
F_09082,10.0.137.112,10.0.83.117,40389,443,TCP,9,71039,8.97,7893.22,Outbound,PortScan
F_00525,10.0.54.6,10.0.83.31,7493,53,TCP,40,53237,7.43,1330.92,Outbound,DDoS
F_04695,10.0.80.231,10.0.100.142,21219,8080,UDP,73,46250,2.0,633.56,Inbound,Benign
F_05288,10.0.79.56,10.0.68.238,1738,80,UDP,55,3810,7.92,69.27,Outbound,Benign
F_00332,10.0.240.94,10.0.162.112,62932,443,UDP,14,43042,0.27,3074.43,Outbound,Benign
F_09724,10.0.106.34,10.0.93.94,24191,22,UDP,64,1735,7.16,27.11,Outbound,Botnet
F_02643,10.0.12.210,10.0.27.46,11795,443,UDP,25,62549,8.21,2501.96,Outbound,Malware
F_07447,10.0.155.211,10.0.59.109,19798,8080,TCP,78,14077,4.15,180.47,Inbound,Benign
F_09890,10.0.38.240,10.0.152.195,62422,53,TCP,42,79720,2.61,1898.1,Outbound,BruteForce
F_00592,10.0.154.93,10.0.146.89,1507,443,UDP,40,90084,4.54,2252.1,Outbound,Benign
F_00024,10.0.174.190,10.0.85.243,38663,53,TCP,27,20621,2.55,763.74,Outbound,Benign
F_08688,10.0.90.200,10.0.34.98,24854,3306,UDP,39,5300,8.36,135.9,Inbound,DDoS
F_04118,10.0.236.87,10.0.230.177,1561,443,TCP,63,79482,1.98,1261.62,Inbound,BruteForce
F_06840,10.0.159.182,10.0.250.26,48671,3306,UDP,26,59514,3.35,2289.0,Inbound,BruteForce
F_04106,10.0.163.148,10.0.6.185,15659,21,TCP,86,97706,0.43,1136.12,Inbound,Infiltration
F_06939,10.0.183.249,10.0.180.228,64618,22,TCP,75,66106,8.87,881.41,Inbound,Benign
F_00335,10.0.203.144,10.0.187.172,22222,8080,TCP,84,38087,1.11,453.42,Inbound,BruteForce
F_04636,10.0.116.161,10.0.44.11,1369,22,UDP,84,44885,2.54,534.35,Outbound,Benign
F_03224,10.0.106.253,10.0.127.119,43760,443,UDP,44,37866,2.33,860.59,Inbound,Benign
F_05979,10.0.4.226,10.0.32.200,31548,443,TCP,24,89322,1.89,3721.75,Outbound,PortScan
F_02254,10.0.92.150,10.0.188.74,64290,53,TCP,75,28710,0.24,382.8,Outbound,DDoS
F_03133,10.0.36.137,10.0.112.244,57948,3306,UDP,77,72701,4.6,944.17,Inbound,Benign
F_04054,10.0.143.130,10.0.88.209,50642,80,TCP,74,88479,1.1,1195.66,Inbound,BruteForce
F_07906,10.0.240.184,10.0.20.127,62614,3306,TCP,99,9148,1.34,92.4,Inbound,PortScan
F_03135,10.0.186.85,10.0.0.71,13592,22,UDP,8,80131,7.63,10016.38,Inbound,DDoS
F_04963,10.0.83.20,10.0.18.2,49375,21,TCP,77,6740,8.37,87.53,Outbound,Botnet
F_04204,10.0.51.118,10.0.63.43,60684,80,UDP,96,71352,9.83,743.25,Outbound,Benign
F_06636,10.0.81.129,10.0.150.63,11662,8080,UDP,78,86332,6.36,1106.82,Inbound,BruteForce
F_03498,10.0.146.238,10.0.191.148,47870,443,UDP,28,56627,1.75,2022.39,Inbound,Benign
F_04585,10.0.182.14,10.0.136.65,37182,443,UDP,83,16150,4.62,194.58,Outbound,Benign
F_00671,10.0.228.36,10.0.154.40,46977,8080,UDP,41,88772,8.54,2165.17,Inbound,DDoS
F_08662,10.0.107.165,10.0.224.114,6710,8080,TCP,53,49446,3.36,932.94,Inbound,Benign
F_02272,10.0.144.61,10.0.91.1,40422,3306,UDP,67,41649,5.5,621.63,Inbound,Benign
F_09436,10.0.219.10,10.0.228.115,40444,22,UDP,5,67454,8.86,13490.8,Inbound,PortScan
F_03874,10.0.166.60,10.0.140.32,7528,8080,UDP,15,56221,4.71,3748.07,Outbound,PortScan
F_06009,10.0.209.49,10.0.158.190,14893,53,TCP,25,73911,5.86,2956.44,Inbound,Benign
F_09508,10.0.65.5,10.0.156.213,63987,53,TCP,92,74174,4.4,806.24,Inbound,Benign
F_07117,10.0.155.223,10.0.20.1,32109,3306,TCP,40,41080,8.1,1027.0,Outbound,Benign
F_08724,10.0.76.85,10.0.141.119,52595,53,TCP,91,90364,2.46,993.01,Outbound,Benign
F_07416,10.0.40.122,10.0.161.46,1483,80,UDP,59,27167,3.91,460.46,Outbound,Benign
F_03206,10.0.93.150,10.0.153.131,12109,80,TCP,92,92885,7.2,1009.62,Inbound,Benign
F_09834,10.0.101.127,10.0.169.48,20765,53,UDP,94,90927,0.98,967.31,Outbound,Benign
F_00300,10.0.54.168,10.0.122.206,22161,80,TCP,84,94349,8.08,1123.2,Outbound,PortScan
F_01643,10.0.37.244,10.0.142.94,40797,22,TCP,28,66644,9.93,2380.14,Inbound,BruteForce
F_05259,10.0.121.138,10.0.238.93,49383,80,TCP,8,3695,5.97,461.88,Outbound,DDoS
F_01591,10.0.166.109,10.0.78.208,41299,53,UDP,85,42138,1.92,495.74,Inbound,Benign
